,TubID,LizardID,Treatment,Date,Time,Trial,Correct,Choose.only.correct.dish,Latency
1,1,1468549,SL,8/10/2015,Morning,1,1,0,403
2,1,1468549,SL,8/10/2015,Afternoon,2,1,0,468
3,1,1468549,SL,8/11/2015,Morning,3,1,0,827
4,1,1468549,SL,8/11/2015,Afternoon,4,1,0,282
5,1,1468549,SL,8/14/2015,Morning,5,1,1,661
6,1,1468549,SL,8/14/2015,Afternoon,6,1,0,474
7,1,1468549,SL,8/17/2015,Morning,7,0,0,NA
8,1,1468549,SL,8/17/2015,Afternoon,8,0,0,NA
9,1,1468549,SL,8/18/2015,Morning,9,1,0,1062
10,1,1468549,SL,8/18/2015,Afternoon,10,1,0,171
11,1,1468549,SL,8/19/2015,Morning,11,1,0,766
12,1,1468549,SL,8/19/2015,Afternoon,12,1,0,531
13,1,1468549,SL,8/20/2015,Morning,13,1,1,713
14,1,1468549,SL,8/20/2015,Afternoon,14,1,0,397
15,1,1468549,SL,8/21/2015,Morning,15,1,1,449
16,1,1468549,SL,8/21/2015,Afternoon,16,1,0,536
17,1,1468549,SL,8/24/2015,Morning,17,1,0,142
18,1,1468549,SL,8/24/2015,Afternoon,18,1,1,181
19,1,1468549,SL,8/25/2015,Morning,19,1,1,194
20,1,1468549,SL,8/25/2015,Afternoon,20,0,0,NA
21,1,1468549,SL,8/26/2015,Morning,21,1,0,247
22,1,1468549,SL,8/26/2015,Afternoon,22,1,0,291
23,1,1468549,SL,8/27/2015,Morning,23,0,0,NA
24,1,1468549,SL,8/27/2015,Afternoon,24,0,0,NA
25,1,1468549,SL,8/28/2015,Morning,25,1,0,318
26,1,1468549,SL,8/28/2015,Afternoon,26,0,0,NA
27,2,1468506,SL,8/10/2015,Morning,1,0,0,NA
28,2,1468506,SL,8/10/2015,Afternoon,2,1,0,169
29,2,1468506,SL,8/11/2015,Morning,3,1,0,244
30,2,1468506,SL,8/11/2015,Afternoon,4,1,0,143
31,2,1468506,SL,8/14/2015,Morning,5,1,1,91
32,2,1468506,SL,8/14/2015,Afternoon,6,1,0,163
33,2,1468506,SL,8/17/2015,Morning,7,1,0,31
34,2,1468506,SL,8/17/2015,Afternoon,8,1,0,99
35,2,1468506,SL,8/18/2015,Morning,9,1,1,162
36,2,1468506,SL,8/18/2015,Afternoon,10,1,0,54
37,2,1468506,SL,8/19/2015,Morning,11,1,0,78
38,2,1468506,SL,8/19/2015,Afternoon,12,1,0,69
39,2,1468506,SL,8/20/2015,Morning,13,0,0,NA
40,2,1468506,SL,8/20/2015,Afternoon,14,1,0,45
41,2,1468506,SL,8/21/2015,Morning,15,1,0,175
42,2,1468506,SL,8/21/2015,Afternoon,16,1,0,192
43,2,1468506,SL,8/24/2015,Morning,17,1,1,59
44,2,1468506,SL,8/24/2015,Afternoon,18,1,1,43
45,2,1468506,SL,8/25/2015,Morning,19,1,1,202
46,2,1468506,SL,8/25/2015,Afternoon,20,1,0,292
47,2,1468506,SL,8/26/2015,Morning,21,0,0,NA
48,2,1468506,SL,8/26/2015,Afternoon,22,0,0,NA
49,2,1468506,SL,8/27/2015,Morning,23,1,1,92
50,2,1468506,SL,8/27/2015,Afternoon,24,1,0,121
