LizardID,Treatment,Number_of_Trials
1468460,SL,8
1468476,C,8
1468502,SL,8
1468504,C,10
1468506,SL,10
1468509,SL,10
1468510,SL,10
1468515,SL,9
1468516,C,10
1468529,C,10
1468532,C,7
1468535,C,10
1468538,C,10
1468549,SL,10
1469178,C,10
1469218,C,8
1469222,SL,8
1469223,SL,10
1469229,SL,9
1469703,SL,10
1470760,C,10
3368899,C,10
3369769,SL,10
3371239,C,10
3371916,C,10
3372126,SL,9
3374160,SL,10
3374264,SL,7
